,fit_count,fit_item,reducer,booster
0,449312.5,89507.25,"['None', '+30%', '+30%', '+5%', 'None', '+5%', 'None', '+10%', '+30%', '+30%']","['None', 'None', '+2', '+2', '+1', 'None', '+2', 'None', '+2', '+2']"
1,810387.5,22288.5,"['None', '+10%', '+10%', 'None', 'None', 'None', '+10%', 'None', 'None', '+5%']","['None', 'None', '+2', '+2', '+1', 'None', 'None', '+2', '+2', '+2']"
2,3313212.5,9175.05,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1']"
3,401212.5,116776.65,"['+5%', '+30%', '+30%', '+10%', '+10%', '+5%', '+30%', '+10%', '+10%', '+30%']","['None', 'None', '+2', '+2', '+1', 'None', 'None', '+2', '+2', '+2']"
4,257400.0,147733.2,"['None', 'None', '+5%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', '+2']"
5,270400.0,135580.8,"['None', '+10%', '+10%', '+10%', '+10%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', 'None', '+1', '+2', '+2', '+2', '+2', '+2']"
6,682825.0,41050.2,"['None', 'None', '+5%', '+30%', '+10%', '+5%', '+10%', 'None', '+5%', 'None']","['+1', '+1', '+1', '+1', '+1', '+2', '+2', '+2', '+2', '+1']"
7,252525.0,165877.35,"['None', '+10%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', '+1', '+1', '+2', '+2', '+2', '+2', '+2', '+2']"
8,445412.5,108683.55000000002,"['+5%', '+30%', '+10%', '+10%', '+10%', '+10%', '+5%', '+5%', '+30%', '+10%']","['None', 'None', '+1', '+1', 'None', '+2', '+1', '+2', 'None', '+1']"
9,468975.0,86281.8,"['None', '+30%', '+5%', '+5%', '+5%', '+5%', 'None', 'None', '+30%', '+5%']","['+1', '+1', '+2', '+2', '+1', '+2', '+2', '+2', '+1', '+2']"
10,527312.5,81600.6,"['None', '+30%', '+5%', '+5%', '+5%', '+5%', 'None', 'None', '+30%', '+5%']","['None', 'None', '+1', '+1', 'None', '+2', '+1', '+2', 'None', '+1']"
11,242937.5,169731.0,"['None', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
12,534625.0,73553.1,"['None', '+30%', '+30%', '+5%', '+5%', 'None', '+30%', '+5%', '+5%', '+10%']","['+1', '+1', '+2', '+2', '+2', '+1', '+1', '+2', '+2', '+2']"
13,674375.0,41066.4,"['None', 'None', '+5%', '+30%', '+10%', '+5%', '+10%', 'None', '+5%', 'None']","['None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', 'None']"
14,842237.5,16931.4,"['None', 'None', 'None', '+10%', '+5%', 'None', '+5%', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', 'None']"
15,4515875.0,0.0,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
