,fit_count,fit_item,reducer,booster
0,449637.5,79269.6,"['None', '+5%', '+5%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
1,449312.5,89507.25,"['None', '+30%', '+30%', '+5%', 'None', '+5%', 'None', '+10%', '+30%', '+30%']","['None', 'None', '+2', '+2', '+1', 'None', '+2', 'None', '+2', '+2']"
2,810387.5,22288.5,"['None', '+10%', '+10%', 'None', 'None', 'None', '+10%', 'None', 'None', '+5%']","['None', 'None', '+2', '+2', '+1', 'None', 'None', '+2', '+2', '+2']"
3,3106187.5,8601.75,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1']"
4,835900.0,16452.6,"['None', 'None', 'None', '+10%', '+5%', 'None', '+5%', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', 'None']"
5,265037.5,134584.95,"['None', '+10%', '+10%', '+10%', '+10%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', 'None', '+1', '+2', '+2', '+2', '+2', '+2']"
6,247650.0,144922.2,"['None', 'None', '+5%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', '+2']"
7,336375.0,128342.55,"['+5%', '+30%', '+30%', '+10%', '+5%', '+10%', '+5%', '+30%', '+30%', '+30%']","['None', 'None', '+2', '+2', '+1', 'None', '+2', 'None', '+2', '+2']"
8,426237.5,95720.4,"['None', '+30%', '+30%', '+5%', 'None', '+5%', 'None', '+10%', '+30%', '+30%']","['+1', '+1', '+2', '+2', '+2', '+1', '+2', '+1', '+2', '+2']"
9,242937.5,169731.0,"['None', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
10,401212.5,116776.65,"['+5%', '+30%', '+30%', '+10%', '+10%', '+5%', '+30%', '+10%', '+10%', '+30%']","['None', 'None', '+2', '+2', '+1', 'None', 'None', '+2', '+2', '+2']"
11,534625.0,73553.1,"['None', '+30%', '+30%', '+5%', '+5%', 'None', '+30%', '+5%', '+5%', '+10%']","['+1', '+1', '+2', '+2', '+2', '+1', '+1', '+2', '+2', '+2']"
12,674375.0,41066.4,"['None', 'None', '+5%', '+30%', '+10%', '+5%', '+10%', 'None', '+5%', 'None']","['None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', 'None']"
13,651787.5,41150.25,"['None', 'None', '+5%', '+30%', '+10%', '+5%', '+10%', 'None', '+5%', 'None']","['+1', '+1', '+1', '+1', '+1', '+2', '+2', '+2', '+2', '+1']"
14,4515875.0,0.0,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
