,fit_count,fit_item,reducer,booster
0,810387.5,22288.5,"['None', '+10%', '+10%', 'None', 'None', 'None', '+10%', 'None', 'None', '+5%']","['None', 'None', '+2', '+2', '+1', 'None', 'None', '+2', '+2', '+2']"
1,3106187.5,8601.75,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1']"
2,835900.0,16452.6,"['None', 'None', 'None', '+10%', '+5%', 'None', '+5%', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', 'None']"
3,247650.0,144922.2,"['None', 'None', '+5%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', '+2']"
4,336375.0,128342.55,"['+5%', '+30%', '+30%', '+10%', '+5%', '+10%', '+5%', '+30%', '+30%', '+30%']","['None', 'None', '+2', '+2', '+1', 'None', '+2', 'None', '+2', '+2']"
5,426237.5,95720.4,"['None', '+30%', '+30%', '+5%', 'None', '+5%', 'None', '+10%', '+30%', '+30%']","['+1', '+1', '+2', '+2', '+2', '+1', '+2', '+1', '+2', '+2']"
6,242937.5,169731.0,"['None', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
7,451587.5,64644.6,"['None', '+5%', '+5%', '+5%', '+5%', '+5%', '+5%', '+10%', '+10%', '+10%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
8,447362.5,75520.65000000001,"['None', '+5%', '+5%', '+5%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%']","['None', 'None', '+1', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
9,401212.5,116776.65,"['+5%', '+30%', '+30%', '+10%', '+10%', '+5%', '+30%', '+10%', '+10%', '+30%']","['None', 'None', '+2', '+2', '+1', 'None', 'None', '+2', '+2', '+2']"
10,259350.0,133193.4,"['None', '+10%', '+10%', '+10%', '+10%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
11,630175.0,40290.75,"['None', 'None', '+5%', '+30%', '+10%', '+5%', '+10%', 'None', '+5%', 'None']","['+1', '+1', '+1', '+1', '+1', '+2', '+2', '+2', '+2', '+1']"
12,4515875.0,0.0,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
