,fit_count,fit_item,reducer,booster
0,449637.5,79269.6,"['None', '+5%', '+5%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
1,449312.5,89507.25,"['None', '+30%', '+30%', '+5%', 'None', '+5%', 'None', '+10%', '+30%', '+30%']","['None', 'None', '+2', '+2', '+1', 'None', '+2', 'None', '+2', '+2']"
2,810387.5,22288.5,"['None', '+10%', '+10%', 'None', 'None', 'None', '+10%', 'None', 'None', '+5%']","['None', 'None', '+2', '+2', '+1', 'None', 'None', '+2', '+2', '+2']"
3,3143725.0,8705.7,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1']"
4,875062.5,16870.8,"['None', 'None', 'None', '+10%', '+5%', 'None', '+5%', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', 'None']"
5,270400.0,135580.8,"['None', '+10%', '+10%', '+10%', '+10%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', 'None', '+1', '+2', '+2', '+2', '+2', '+2']"
6,249762.5,146271.0,"['None', 'None', '+5%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', '+2']"
7,445412.5,108683.55000000002,"['+5%', '+30%', '+10%', '+10%', '+10%', '+10%', '+5%', '+5%', '+30%', '+10%']","['None', 'None', '+1', '+1', 'None', '+2', '+1', '+2', 'None', '+1']"
8,401212.5,116776.65,"['+5%', '+30%', '+30%', '+10%', '+10%', '+5%', '+30%', '+10%', '+10%', '+30%']","['None', 'None', '+2', '+2', '+1', 'None', 'None', '+2', '+2', '+2']"
9,242937.5,169731.0,"['None', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
10,534625.0,73553.1,"['None', '+30%', '+30%', '+5%', '+5%', 'None', '+30%', '+5%', '+5%', '+10%']","['+1', '+1', '+2', '+2', '+2', '+1', '+1', '+2', '+2', '+2']"
11,674375.0,41066.4,"['None', 'None', '+5%', '+30%', '+10%', '+5%', '+10%', 'None', '+5%', 'None']","['None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', 'None']"
12,633425.0,41330.55,"['None', 'None', '+5%', '+30%', '+10%', '+5%', '+10%', 'None', '+5%', 'None']","['+1', '+1', '+1', '+1', '+1', '+2', '+2', '+2', '+2', '+1']"
13,4978187.5,0.0,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
